Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-May-2019,1264.90,1277.90,1245.00,1250.50,1260.762429156685751870,1927846,22396,2430555806.00,164182,8.52,32.90,-14.40
9-May-2019,1291.70,1291.70,1251.50,1255.15,1263.709220100034397177,1026247,27186,1296877796.00,301847,29.41,40.20,-36.55
8-May-2019,1340.00,1340.00,1291.05,1299.45,1313.029567388787457984,892233,18906,1171528310.00,361512,40.52,48.95,-40.55
7-May-2019,1391.50,1394.00,1341.30,1344.55,1371.971566600182862609,1036844,13586,1422520487.00,648018,62.50,52.70,-46.95
6-May-2019,1399.00,1402.00,1378.55,1384.85,1394.900891005339554942,741073,10606,1033723388.00,182272,24.60,23.45,-14.15
3-May-2019,1407.00,1417.00,1401.40,1407.05,1411.293527697516603204,966982,18908,1364695438.00,559482,57.86,15.60,0.05
2-May-2019,1394.00,1413.75,1382.00,1405.10,1402.265997362487769600,587675,14843,824076670.00,220127,37.46,31.75,11.10
30-April-2019,1395.00,1395.00,1367.00,1391.80,1384.926866063868098069,924687,17546,1280623869.00,431346,46.65,28.00,-3.20
26-April-2019,1377.70,1395.00,1370.45,1391.45,1383.754672717638826532,494466,12875,684219638.00,114567,23.17,24.55,13.75
25-April-2019,1392.90,1410.90,1365.00,1374.55,1396.419059779862910746,795686,20124,1111111096.00,195936,24.62,45.90,-18.35
24-April-2019,1370.00,1394.60,1366.35,1390.00,1379.500890703321989756,494553,12799,682236304.00,154588,31.26,28.25,20.00
23-April-2019,1349.95,1371.85,1345.65,1363.30,1363.565014616159043217,494658,14106,674498343.00,143875,29.09,26.20,13.35
22-April-2019,1364.00,1365.15,1341.00,1344.80,1352.533606330365974282,505500,13150,683705738.00,143004,28.29,24.15,-19.20
18-April-2019,1365.45,1387.00,1365.00,1382.90,1378.424347935295346795,923643,19038,1273172000.00,286688,31.04,22.00,17.45
16-April-2019,1345.00,1359.70,1340.25,1345.30,1350.575192339505814765,465453,7930,628629275.00,199196,42.80,19.45,0.30
15-April-2019,1344.70,1348.80,1333.95,1339.75,1341.373639639141532819,434076,6444,582258104.00,103722,23.89,14.85,-4.95
12-April-2019,1348.90,1356.55,1337.30,1341.95,1345.216728930080764925,497617,8006,669402713.00,188329,37.85,19.25,-6.95
11-April-2019,1332.80,1351.70,1328.70,1346.15,1337.190756561225275148,571692,8026,764461258.00,245392,42.92,23.00,13.35
10-April-2019,1340.00,1347.65,1326.00,1328.95,1337.771514037937492787,450636,8796,602848004.00,130477,28.95,21.65,-11.05
9-April-2019,1330.90,1340.00,1321.60,1335.35,1329.475947124473615533,816181,11749,1085093008.00,400655,49.09,18.40,4.45
8-April-2019,1354.60,1356.10,1324.00,1329.40,1334.520338670294255221,466058,12865,621963880.00,160219,34.38,32.10,-25.20
5-April-2019,1360.10,1363.85,1343.60,1355.10,1352.785302848286472544,616827,9170,834434500.00,234112,37.95,20.25,-5.00
4-April-2019,1379.00,1383.75,1347.05,1353.10,1360.200043410423534740,635792,14046,864804306.00,208404,32.78,36.70,-25.90
3-April-2019,1394.45,1402.35,1370.00,1373.80,1391.077627925815570433,713519,9614,992560318.00,296563,41.56,32.35,-20.65
2-April-2019,1396.55,1402.70,1380.80,1388.45,1390.479501911093980856,498144,10193,692659021.00,78043,15.67,21.90,-8.10
1-April-2019,1368.55,1406.50,1362.85,1391.55,1389.626054319328879311,702586,14020,976331811.00,179869,25.60,43.65,23.00
29-March-2019,1366.00,1376.00,1356.10,1363.05,1363.041560452472467289,401704,7190,547539247.00,97788,24.34,19.90,-2.95
28-March-2019,1350.00,1369.90,1343.35,1360.55,1356.962187298070709867,519984,11281,705598626.00,116137,22.33,26.55,10.55
27-March-2019,1377.00,1377.00,1344.90,1350.10,1359.157430090131730991,627415,11518,852755759.00,165161,26.32,32.10,-26.90
26-March-2019,1330.00,1369.95,1330.00,1367.15,1352.492815718908718474,905101,14203,1224142600.00,283596,31.33,39.95,37.15
25-March-2019,1330.10,1336.75,1317.15,1325.25,1324.789904878797177048,488850,8161,647623545.00,195600,40.01,19.60,-4.85
22-March-2019,1374.00,1380.25,1337.50,1342.10,1358.375300136241619791,593064,13638,805603489.00,170745,28.79,42.75,-31.90
20-March-2019,1379.00,1386.60,1363.60,1375.60,1376.593649837349003931,627417,12176,863698258.00,178717,28.48,23.00,-3.40
19-March-2019,1359.00,1378.00,1343.00,1375.25,1360.847711435522595784,938383,15231,1276996358.00,306692,32.68,35.00,16.25
18-March-2019,1325.10,1358.15,1325.10,1347.60,1340.977742314688942740,761355,10917,1020960109.00,333092,43.75,33.05,22.50
15-March-2019,1345.00,1358.20,1311.65,1322.60,1343.815795194010589468,874076,12784,1174597135.00,372328,42.60,46.55,-22.40
14-March-2019,1350.00,1361.45,1334.00,1341.20,1352.077537334536297652,1336698,16091,1807319340.00,706363,52.84,27.45,-8.80
13-March-2019,1334.50,1350.00,1327.75,1346.75,1338.404225680933852140,1028000,18754,1375879544.00,428157,41.65,22.25,12.25
12-March-2019,1317.10,1333.00,1315.50,1329.85,1323.320878504235868099,1924635,14061,2546909679.00,1457699,75.74,17.50,12.75
11-March-2019,1270.80,1313.00,1268.10,1301.00,1292.419964157847680069,759441,13550,981516710.00,282912,37.25,44.90,30.20
8-March-2019,1265.05,1274.00,1261.50,1266.60,1266.053098047890911050,352593,5642,446401460.00,136976,38.85,12.50,1.55
